Number,Initial Letter,Name,Status,Theme,Year,Type,Notes,Priority,No. of Citations,Author,Abstract,Tags,Keywords,Url,Issn,Doi,Aim
11,B,Biomarkers in patients with Takotsubo cardiomyopathy compared to patients with acute anterior ST-elevation myocardial infarction,Not started,,2020,,,,,"Christian Hassager, Jens Peter Gøtze, Lene Holmvang, Lia Evi Bang, Martin Frydland, Mathias Alexander Højagergaard, Sisse Rye Ostrowski, Thomas Emil Christensen","Background: Takotsubo cardiomyopathy (TTC) is a syndrome of acute non-coronary heart failure with similar symptoms and electrocardiograms to acute anterior ST-elevation myocardial infarction (STEMI). Little is known about the pathophysiology of TTC. We assessed admission plasma concentrations of biomarkers reflecting neuroendocrine response (copeptin, mid-regional-pro-adrenomedullin, pro-atrial-natriuretic-peptide, soluble thrombomodulin (sTM), syndecan-1) and inflammation (suppression-of-tumorigenicity 2 (ST2), high-sensitive C-reactive-protein) in TTC patients and compared to patients with acute anterior STEMI. Materials and methods: Twenty TTC patients were matched with 40 STEMI patients by age, gender and left ventricular ejection fraction. Blood was sampled upon hospital admission immediately before acute coronary angiography. Results: The groups had similar comorbidities. TTC patients had higher plasma concentrations of sTM: 7.94 (5.89;9.61) vs. 6.42 (5.50;7.82)ng/ml, p = 0.04 and ST2 (53 (32;157) vs. 45 (31;55)ng/ml, p = 0.008) and higher heart rate: 101 (± 33) vs. 76(± 14)bpm, p = 0.0001, but lower concentrations of copeptin (10.4 (7.6;39) vs. 92.3 (13;197)pmol/l, p < 0.05) and troponin T (348 (98;759) vs. 1190 (261;4105)ng/l, p = 0.04). Conclusion: TTC patients had higher plasma concentrations of sTM and ST2, higher heart rate and lower copeptin and troponin T concentrations compared to acute anterior STEMI patients. This study contributes to the hypothesis that TTC patients have endothelial cell damage and are hemodynamically more stable than patients with acute anterior STEMI on admission.","Copeptin, Inflammation, Mid-regional Pro-adrenomedullin, Neuroendocrine Response, Pro-atrial Natriuretic Peptide, Soluble Thrombomodulin, St-elevation Myocardial Infarction, Suppression Of Tumorigenicity 2, Syndecan-1, Takotsubo Cardiomyopathy","ST-elevation myocardial infarction,Takotsubo cardiomyopathy,copeptin,inflammation,mid-regional pro-adrenomedullin,neuroendocrine response,pro-atrial natriuretic peptide,soluble thrombomodulin,suppression of tumorigenicity 2,syndecan-1",,13665804,10.1080/1354750X.2019.1710767,
12,C,Cardiovascular Magnetic Resonance Imaging of Takotsubo Syndrome: Evolving Diagnostic and Prognostic Perspectives,Not started,,2024,,,,,"Lorenzo Manelli, Luca Saba, Mariano Scaglione, Michele Porcu, Riccardo Cau, Rodrigo Salgado, Salvatore Masala, Tommaso D'Angelo","Takotsubo syndrome (TS) is a temporary form of left ventricular (LV) dysfunction characterized by a distinct pattern of LV impairment, often triggered by a physical or emotional stressful event. Historically, TS was considered a benign condition due to its prompt restoration of myocardial function and generally excellent outcomes. However, recent studies have shown that complications similar to those seen after myocardial infarction can occur, necessitating careful monitoring of these patients. Among noninvasive imaging techniques, cardiovascular magnetic resonance (CMR) is becoming increasingly important in evaluating patients with TS. CMR offers a unique ability to noninvasively assess myocardial tissue characteristics, allowing for detecting the typical features of TS, such as specific wall motion abnormalities and myocardial edema. Beyond its well-established diagnostic utility in the clinical management of TS, CMR has also proven valuable in prognosis and risk stratification for these patients. Advances in CMR, including myocardial strain and parametric mapping have expanded its role in the diagnosis, prognosis, and follow-up of these patients. This review aims to provide a comprehensive overview of the potential applications of CMR in the diagnostic and prognostic evaluation of TS patients. It explores the emerging use of novel CMR imaging biomarkers that may enhance diagnosis, improve prognostic accuracy, and contribute to the overall management of these patients.","Cmr, Imaging, Prognosis, Takotsubo","CMR,Takotsubo,imaging,prognosis",,15408175,10.1111/echo.15949,
13,C,Cine-cardiac magnetic resonance to distinguish between ischemic and non-ischemic cardiomyopathies: a machine learning approach,Not started,,2024,,,,,"Alessandra Pintus, Francesco Pisu, Jasjit S. Suri, Luca Saba, Riccardo Cau, Roberta Montisci, Rodrigo Salgado, Vitanio Palmisano","Objective: This work aimed to derive a machine learning (ML) model for the differentiation between ischemic cardiomyopathy (ICM) and non-ischemic cardiomyopathy (NICM) on non-contrast cardiovascular magnetic resonance (CMR). Methods: This retrospective study evaluated CMR scans of 107 consecutive patients (49 ICM, 58 NICM), including atrial and ventricular strain parameters. We used these data to compare an explainable tree-based gradient boosting additive model with four traditional ML models for the differentiation of ICM and NICM. The models were trained and internally validated with repeated cross-validation according to discrimination and calibration. Furthermore, we examined important variables for distinguishing between ICM and NICM. Results: A total of 107 patients and 38 variables were available for the analysis. Of those, 49 were ICM (34 males, mean age 60 ± 9 years) and 58 patients were NICM (38 males, mean age 56 ± 19 years). After 10 repetitions of the tenfold cross-validation, the proposed model achieved the highest area under curve (0.82, 95% CI [0.47–1.00]) and lowest Brier score (0.19, 95% CI [0.13–0.27]), showing competitive diagnostic accuracy and calibration. At the Youden’s index, sensitivity was 0.72 (95% CI [0.68–0.76]), the highest of all. Analysis of predictions revealed that both atrial and ventricular strain CMR parameters were important for the identification of ICM patients. Conclusion: The current study demonstrated that using a ML model, multi chamber myocardial strain, and function on non-contrast CMR parameters enables the discrimination between ICM and NICM with competitive diagnostic accuracy. Clinical relevance statement: A machine learning model based on non-contrast cardiovascular magnetic resonance parameters may discriminate between ischemic and non-ischemic cardiomyopathy enabling wider access to cardiovascular magnetic resonance examinations with lower costs and faster imaging acquisition. Key Points: • The exponential growth in cardiovascular magnetic resonance examinations may require faster and more cost-effective protocols. • Artificial intelligence models can be utilized to distinguish between ischemic and non-ischemic etiologies. • Machine learning using non-contrast CMR parameters can effectively distinguish between ischemic and non-ischemic cardiomyopathies. Graphical Abstract: (Figure presented.)","Artificial Intelligence, Cardiomyopathy, Cardiovascular Diseases, Cine Magnetic Resonance Imaging, Machine Learning","Artificial intelligence,Cardiomyopathy,Cardiovascular diseases,Cine magnetic resonance imaging,Machine learning",,14321084,10.1007/s00330-024-10640-8,
14,C,cMRI-BED: A novel informatics framework for cardiac MRI biomarker extraction and discovery applied to pediatric cardiomyopathy classification,Not started,,2015,,,,,"Prahlad G. Menon, Shobhit Madan, Vanathi Gopalakrishnan","Background: Pediatric cardiomyopathies are a rare, yet heterogeneous group of pathologies of the myocardium that are routinely examined clinically using Cardiovascular Magnetic Resonance Imaging (cMRI). This gold standard powerful non-invasive tool yields high resolution temporal images that characterize myocardial tissue. The complexities associated with the annotation of images and extraction of markers, necessitate the development of efficient workflows to acquire, manage and transform this data into actionable knowledge for patient care to reduce mortality and morbidity. Methods: We develop and test a novel informatics framework called cMRI-BED for biomarker extraction and discovery from such complex pediatric cMRI data that includes the use of a suite of tools for image processing, marker extraction and predictive modeling. We applied our workflow to obtain and analyze a dataset of 83 de-identified cases and controls containing cMRI-derived biomarkers for classifying positive versus negative findings of cardiomyopathy in children. Bayesian rule learning (BRL) methods were applied to derive understandable models in the form of propositional rules with posterior probabilities pertaining to their validity. Popular machine learning methods in the WEKA data mining toolkit were applied using default parameters to assess cross-validation performance of this dataset using accuracy and percentage area under ROC curve (AUC) measures. Results: The best 10-fold cross validation predictive performance obtained on this cMRI-derived biomarker dataset was 80.72% accuracy and 79.6% AUC by a BRL decision tree model, which is promising from this type of rare data. Moreover, we were able to verify that mycocardial delayed enhancement (MDE) status, which is known to be an important qualitative factor in the classification of cardiomyopathies, is picked up by our rule models as an important variable for prediction. Conclusions: Preliminary results show the feasibility of our framework for processing such data while also yielding actionable predictive classification rules that can augment knowledge conveyed in cardiac radiology outcome reports. Interactions between MDE status and other cMRI parameters that are depicted in our rules warrant further investigation and validation. Predictive rules learned from cMRI data to classify positive and negative findings of cardiomyopathy can enhance scientific understanding of the underlying interactions among imaging-derived parameters.",,,,1475925X,10.1186/1475-925X-14-S2-S7,
15,C,Comparing the Areas under Two or More Correlated Receiver Operating Characteristic Curves: A Nonparametric Approach,Not started,,1988,,,,,"Daniel L Clarke-Pearson, David M Delong, Elizabeth R Delong",,,,https://about.jstor.org/terms,,,
16,C,Could CMR Tissue-Tracking and Parametric Mapping Distinguish Between Takotsubo Syndrome and Acute Myocarditis? A Pilot Study,Not started,,2022,,,,,"Gianluca Pontone, Gloria Caredda, Jasjit S. Suri, Luca Saba, Martino Deidda, Pierpaolo Bassareo, Riccardo Cau","Rationale and Objective: Takotsubo syndrome (TS) is a transient and often misdiagnosed form of left ventricular dysfunction. Acute myocarditis (AM) is usually included in TS differential diagnosis. The aim of this study is to assess the role of cardiac magnetic resonance imaging coupled with tissue-tracking technique (CMR-TT) and parametric mappings analysis in discriminating between TS and AM. Materials and Methods: We retrospectively enrolled three groups: patients with TS (n = 12), patients with AM (n = 14), and 10 healthy controls. All the patients had a comprehensive CMR examination, including the assessment of global and segmental longitudinal strain, circumferential strain, radial strain (RS), and parametric mapping. Results: The analysis of variance was used to compare the different groups. In TS patients, basal RS, global T1 mapping, global T2 mapping, mid T2 mapping, apical T1 and T2 mapping were statistically significantly different compared with the other groups. MANCOVA analysis confirmed that the association between myocardial strain data and parametric mapping was independent on age and sex. Apical T1 and T2 mapping proved to have a good performance in differentiating TS from AM (area under the curves of 0.908 and 0.879, respectively). Conclusion: Basal RS and apical tissue mapping analysis are the most advanced CMR-derived parameters in making a differential diagnosis between TS and AM.","Cmr, Myocardial Strain, Myocarditis, T1 Mapping, T2 Mapping, Takotsubo Syndrome","CMR,Myocardial strain,Myocarditis,T1 mapping,T2 mapping,Takotsubo syndrome",,18784046,10.1016/j.acra.2021.01.009,
17,C,Current knowledge and future challenges in takotsubo syndrome: Part 1—pathophysiology and diagnosis,Not started,,2021,,,,,"Elias Rawish, Francesco Santoro, Ingo Eitel, Natale D. Brunetti, Thomas Stiermaier","First recognized in 1990, takotsubo syndrome (TTS) constitutes an acute cardiac condition that mimics acute myocardial infarction commonly in the absence of obstructive coronary artery disease; it is characterized by temporary left ventricular dysfunction, regularly in a circumferential apical, midventricular, or basal distribution. Considering its acute clinical presentation, coronary angiography with left ventriculography constitutes the gold standard diagnostic tool to exclude or confirm TTS. Frequently, TTS is related to severe emotional or physical stress and a subsequent increased adrenergic stimulation affecting cardiac function. Beyond clinical presentation, epidemiology, and novel diagnostic biomarkers, this review draws attention to potential pathophysiological mechanisms for the observed reversible myocardial dysfunction such as sympathetic overdrive-mediated multi-vessel epicardial spasms, microvascular dysfunction, the direct toxicity of catecholamines, lipotoxicity, and inflammation. Considering the long-term prognosis, further experimental and clinical research is indispensable to elucidate further pathophysiological mechanisms underlying TTS before randomized control trials with evidence-based therapeutic management can be performed.","Acute Heart Failure, Biomarker, Broken Heart Syndrome, Inflammation, Lipotoxicity, Takotsubo Syndrome","Acute heart failure,Biomarker,Broken heart syndrome,Inflammation,Lipotoxicity,Takotsubo syndrome",,20770383,10.3390/jcm10030479,
18,C,Current knowledge and future challenges in takotsubo syndrome: Part 2-treatment and prognosis,Not started,,2021,,,,,"Adriana Mallardi, Alessandra Leopizzi, Elias Rawish, Enrica Vitale, Francesco Santoro, Ingo Eitel, Natale D. Brunetti, Thomas Stiermaier","Takotsubo syndrome (TTS) represents a form of acute heart failure featured by reversible left ventricular systolic dysfunction. The management during the acute phase is mainly performed with supportive pharmacological (diuretics, ACE-inhibitors/angiotensin-receptor blockers (ARBs), anticoagulants, antiarrhythmics, non-catecholamine inotropics (levosimendan), and non-pharmacological (mechanical circulatory and respiratory support) therapy, due to the wide clinical presentation and course of the disease. However, there is a gap in evidence and there are no randomized and adequately powered studies on clinical effectiveness of therapeutic approaches. Some evidence supports the use ACE-inhibitors/ARBs at long-term. A tailored approach based on cardiovascular and noncardiovascular risk factors is strongly suggested for long-term management. The urgent need for evidence-based treatment approaches is also reflected by the prognosis following TTS. The acute phase of the disease can be accompanied by various cardiovascular complications. In addition, long term outcome of TTS patients is also related to non-cardiovascular comorbidities. Physical triggers such as hypoxia and acute neurological disorders in TTS are associated with a poor outcome.","Apical Ballooning, Outcome, Prognosis, Takotsubo Syndrome, Therapy","Apical ballooning,Outcome,Prognosis,Takotsubo syndrome,Therapy",,20770383,10.3390/jcm10030468,
19,D,Diagnostic models to differentiate Takotsubo syndrome from acute coronary syndrome: A systematic review and meta-analysis,Not started,,2025,Review,,,,"Adrian V. Hernandez, Carlos Diaz-Arocutipa, Cesar Joel Benites-Moya, Javier Torres-Valencia, Lourdes Vicent, Norma Nicole Gamarra-Valverde, Rafael Yrivarren-Cespedes","Aims: Differentiation between patients with Takotsubo syndrome and acute coronary syndrome (ACS) remains a challenge. We performed a systematic review to identify and evaluate diagnostic predictive models to distinguish both conditions. Methods and results: We performed an electronic search in PubMed, EMBASE, and Scopus until January 2024. Observational studies that developed and/or validated multivariable diagnostic models to differentiate Takotsubo syndrome from ACS were included. The risk of bias was assessed using the Prediction model Risk Of Bias ASsessment Tool (PROBAST). We conducted a narrative synthesis of the performance measures of the diagnostic models evaluated in each study. In addition, a random-effects meta-analysis of the c-statistic with its 95% confidence interval (CI) of the InterTAK model was performed. Of 1015 articles, a total of 11 studies (n = 4552) were included. We identified eight new diagnostic models and eight were external validation of existing models. The most frequent model was InterTAK (n = 4). The reported c-statistic ranged from 0.77 to 0.97 across all models. Calibration plots were reported only for two models. The summary c-statistic was 0.89 (95% confidence interval 0.73–0.96) for the InterTAK model. The risk of bias was high for all models and the applicability was of low (50%) or unclear (50%) concern. Conclusion: Our review identified multiple diagnostic models to diagnose Takotsubo syndrome. Although most models showed acceptable-to-good discriminative performance, calibration measures were almost unreported and the risk of bias was a concern in most studies.","Diagnosis, Systematic Review, Takotsubo Syndrome","Acute coronary syndrome,Diagnostic model,Systematic review,Takotsubo syndrome",,18790844,10.1002/ejhf.3584,
20,D,"Distinguishing a heart attack from the ""broken heart syndrome"" (Takotsubo cardiomyopathy)",Not started,,2011,,,,,"Arie Altman, Naomi Nussinovitch, Orly Goitein, Udi Nussinovitch","Takotsubo cardiomyopathy (TC) is a neurocardiological disorder presumed to be triggered by stress, which may cause reversible heart failure, usually in postmenopausal women. It may mimic an acute myocardial infarction, accompanied by minimal elevation of cardiac enzymes, usually without evidence of obstructive coronary artery disease. Most clinicians are unfamiliar with this disorder. Therefore, some TCs are misdiagnosed as acute myocardial infarction. The modified Mayo Clinic criteria usually confirm a diagnosis, although the diagnostic criteria for TC remain controversial. Enhanced awareness by clinicians is important when encountering patients with chest pain and elevated cardiac enzymes. Takotsubo cardiomyopathy is usually associated with a favorable prognosis, although in rare instances it may be associated with life-threatening complications. Supportive care is especially important in the TC management. Our aim was to describe TC, characterize its clinical features, and extensively review the relevant literature. Copyright © 2011 Lippincott Williams & Wilkins.","Ampulla Cardiomyopathy, Angina, Apical Ballooning, Ballooning, Myocardial Infarction, Takotsubo Cardiomyopathy","Takotsubo cardiomyopathy,ampulla cardiomyopathy,angina,apical ballooning,ballooning,myocardial infarction",,8894655,10.1097/JCN.0b013e31820e2a90,
21,D,Dynamic Trend of Myocardial Edema in Takotsubo Syndrome: A Serial Cardiac Magnetic Resonance Study,Not started,,2022,,,,,"Christian Templin, Iwao Ishibashi, Jelena Rima Ghadri, Ken Kato, Koji Matsumoto, Koki Matsuno, Masanori Sano, Michiko Daimon, Tadayuki Kadohira, Takashi Uno, Yoshiaki Sakai, Yoshio Kobayashi, Yoshitada Masuda","Background: The wall motion abnormalities of the left ventricle (LV) in takotsubo syndrome (TTS) are known to be transient and completely recover within a few weeks. However, there is little information about the relationship between functional recovery and tissue characteristics. The aim of this study was to investigate the recovery process of TTS using cardiovascular magnetic resonance (CMR). Methods: Consecutive patients with TTS were prospectively enrolled. We performed serial CMR in the acute phase (<72 h after admission), the subacute phase (7–10 days after admission) and the chronic phase (3 months later). To assess the degree of myocardial edema quantitatively, we evaluated the signal intensity of myocardium on T2-weighted images and calculated the signal intensity ratio compared with the skeletal muscle. Results: Fifteen patients with TTS were enrolled. CMR demonstrated reduced LV ejection fraction in the acute phase, and it recovered almost completely by the subacute phase. On the other hand, severe myocardial edema was still observed in the subacute phase, associated with increased LV mass. The highest signal intensity ratio in the subacute phase was correlated with the maximum voltage of negative T wave on electrocardiogram (r = 0.57, p = 0.03). Conclusions: In patients with TTS, myocardial edema associated with increased LV mass still remained in the subacute phase despite functional recovery of the LV. Electrocardiogram may be useful to assess the degree of myocardial edema in the subacute phase. Our study suggests that myocardial ischemia might have a central role in developing TTS.","Cardiovascular Magnetic Resonance, Myocardial Edema, Takotsubo Cardiomyopathy, Takotsubo Syndrome, Transient Apical Wall Thickening","Cardiovascular magnetic resonance,Myocardial edema,Takotsubo cardiomyopathy,Takotsubo syndrome,Transient apical wall thickening",,20770383,10.3390/jcm11040987,
22,E,Editorial: Precision imaging for precision care – The role of quantitative CMR parameters in Takotsubo syndrome,Not started,,2025,,,,,"Luca Saba, Riccardo Cau",,,,,18741754,10.1016/j.ijcard.2024.132744,
23,E,Epicardial fat volume assessed with cardiac magnetic resonance imaging in patients with Takotsubo cardiomyopathy,Not started,,2023,,,,,"Antonella Balestrieri, Christian Cadeddu, Filippo Cademartiri, Jasjit S. Suri, Lorenzo Mannelli, Luca Saba, Pierpaolo Bassareo, Riccardo Cau","Purpose: The aims of our study were to investigate with cardiovascular magnetic resonance (CMR) the role of Epicardial Fat Volume (EFV) and distribution in patients with Takotsubo cardiomyopathy (TTC). Moreover, we explored EFV in patients with TTC and related this to comorbidities, cardiac biomarkers, and cardiac function. Methods: This retrospective study performed CMR scans in 30 consecutive TTC patients and 20 healthy controls. The absolute amount of EFV was quantified in consecutive short-axis cine stacks through the modified Simpson's rule. In addition, the left atrio-ventricular groove (LV) and right ventricle (RV) Epicardial Fat Thickness (EFT) were measured as well. Besides epicardial fat, LV myocardial strain parameters and T2 mapping measurements were obtained. Results: TTC patients and controls were of comparable age, sex, and body mass index. Compared to healthy controls, patients with TTC demonstrated a significantly increased EFV, epicardial fat mass, and EFV indexed for body 7surface area (p = 0.005; p = 0.003; p = 0.008; respectively). In a multiple regression model including age, sex, BMI, atrial fibrillation, and dyslipidemia, TTC remained an independent association with EFV (p = 0.008). Global T2 mapping and Global longitudinal strain in patients with TTC were correlated with EFV (r = 0.63, p = 0.001, and r = 0.44, p = 0.02, respectively). Conclusion: Patients with TTC have increased EFV compared to healthy controls, despite a similar body mass index. The amount of epicardial fat was associated with CMR markers of myocardial inflammation and subclinical contractile dysfunction.","Cardiomyopathy, Cmr, Epicardial Fat Thickness, Epicardial Fat Volume, Takotsubo","CMR,Cardiomyopathy,Epicardial fat thickness,Epicardial fat volume,Takotsubo",,18727727,10.1016/j.ejrad.2023.110706,
24,E,Epidemiology and pathophysiology of Takotsubo syndrome,Not started,,2015,,,,,"Alexander R. Lyon, Holger M. Nef, Yoshihiro J. Akashi","Takotsubo syndrome is an acute cardiac syndrome first described in 1990 and characterized by transient left ventricular dysfunction affecting more than one coronary artery territory, often in a circumferential apical, mid-ventricular, or basal distribution. Several pathophysiological explanations have been proposed for this syndrome and its intriguing appearance, and awareness is growing that these explanations might not be mutually exclusive. The reversible apical myocardial dysfunction observed might result from more than one pathophysiological phenomenon. The pathophysiology of Takotsubo syndrome is complex and integrates neuroendocrine physiology, potentially involving the cognitive centres of the brain, and including the hypothalamic-pituitary-adrenal axis. Cardiovascular responses are caused by the sudden sympathetic activation and surge in concentrations of circulating catecholamines. The multiple morphological changes seen in the myocardium match those seen after catecholamine-induced cardiotoxicity. The acute prognosis and recurrence rate are now known to be worse than initially thought, and much still needs to be learned about the epidemiology and the underlying pathophysiology of this fascinating condition in order to improve diagnostic and treatment pathways.","Pathophysiology, Prognosis, Takotsubo Syndrome",,,17595010,10.1038/nrcardio.2015.39,
25,E,Explainable Artificial Intelligence and Cardiac Imaging: Toward More Interpretable Models,Not started,,2023,,,,,"Aaron Mark Lee, Ahmed Salih, Ilaria Boscolo Galazzo, Karim Lekadir, Polyxeni Gkontra, Steffen E. Petersen, Zahra Raisi-Estabragh","Artificial intelligence applications have shown success in different medical and health care domains, and cardiac imaging is no exception. However, some machine learning models, especially deep learning, are considered black box as they do not provide an explanation or rationale for model outcomes. Complexity and vagueness in these models necessitate a transition to explainable artificial intelligence (XAI) methods to ensure that model results are both transparent and understandable to end users. In cardiac imaging studies, there are a limited number of papers that use XAI methodologies. This article provides a comprehensive literature review of state-of-the-art works using XAI methods for cardiac imaging. Moreover, it provides simple and comprehensive guidelines on XAI. Finally, open issues and directions for XAI in cardiac imaging are discussed.","Artificial Intelligence, Cardiac Imaging Techniques, Diagnostic Imaging, Machine Learning","artificial intelligence,cardiac imaging techniques,diagnostic imaging,machine learning",,19420080,10.1161/CIRCIMAGING.122.014519,
26,E,Exploring the EVolution in PrognOstic CapabiLity of MUltisequence Cardiac MagneTIc ResOnance in PatieNts Affected by Takotsubo Cardiomyopathy Based on Machine Learning Analysis: Design and Rationale of the EVOLUTION Study,Not started,,2023,,,,,"Antonio Esposito, Birgitta Velthuis, Charles Peebles, Christian Loewe, Filippo Cademartiri, Francesco Pisu, Gianluca Pontone, Giuseppe Muscogiuri, Gorka Bastarrika, Luca Saba, Marco Francone, Marco Gatti, Marco Guglielmo, Nicholas Dacher, Riccardo Cau, Roberta Montisci, Rodrigo Salgado, Sandro Sironi","Purpose: Takotsubo cardiomyopathy (TTC) is a transient but severe acute myocardial dysfunction with a wide range of outcomes from favorable to life-threatening. The current risk stratification scores of TTC patients do not include cardiac magnetic resonance (CMR) parameters. To date, it is still unknown whether and how clinical, trans-thoracic echocardiography (TTE), and CMR data can be integrated to improve risk stratification. Methods: EVOLUTION (Exploring the eVolution in prognOstic capabiLity of mUlti-sequence cardiac magneTIc resOnance in patieNts affected by Takotsubo cardiomyopathy) is a multicenter, international registry of TTC patients who will undergo a clinical, TTE, and CMR evaluation. Clinical data including demographics, risk factors, comorbidities, laboratory values, ECG, and results from TTE and CMR analysis will be collected, and each patient will be followed-up for in-hospital and long-term outcomes. Clinical outcome measures during hospitalization will include cardiovascular death, pulmonary edema, arrhythmias, stroke, or transient ischemic attack. Clinical long-term outcome measures will include cardiovascular death, pulmonary edema, heart failure, arrhythmias, sudden cardiac death, and major adverse cardiac and cerebrovascular events defined as a composite endpoint of death from any cause, myocardial infarction, recurrence of TTC, transient ischemic attack, and stroke. We will develop a comprehensive clinical and imaging score that predicts TTC outcomes and test the value of machine learning models, incorporating clinical and imaging parameters to predict prognosis. Conclusions: The main goal of the study is to develop a comprehensive clinical and imaging score, that includes TTE and CMR data, in a large cohort of TTC patients for risk stratification and outcome prediction as a basis for possible changes in patient management.","Cardiac Magnetic Resonance, Machine Learning, Prognosis, Risk Stratification, Takotsubo","Takotsubo,cardiac magnetic resonance,machine learning,prognosis,risk stratification",,15360237,10.1097/RTI.0000000000000709,
27,E,Extremely randomized trees,Not started,,2006,,,,,"Damien Ernst, Louis Wehenkel, Pierre Geurts","This paper proposes a new tree-based ensemble method for supervised classification and regression problems. It essentially consists of randomizing strongly both attribute and cut-point choice while splitting a tree node. In the extreme case, it builds totally randomized trees whose structures are independent of the output values of the learning sample. The strength of the randomization can be tuned to problem specifics by the appropriate choice of a parameter. We evaluate the robustness of the default choice of this parameter, and we also provide insight on how to adjust it in particular situations. Besides accuracy, the main strength of the resulting algorithm is computational efficiency. A bias/variance analysis of the Extra-Trees algorithm is also provided as well as a geometrical and a kernel characterization of the models induced.","Bias/variance Tradeoff, Cut-point Randomization, Decision And Regression Trees, Ensemble Methods, Kernel-based Models, Supervised Learning","Bias/variance tradeoff,Cut-point randomization,Decision and regression trees,Ensemble methods,Kernel-based models,Supervised learning",,8856125,10.1007/s10994-006-6226-1,
28,F,Feature selection for small sample sets with high dimensional data using heuristic hybrid approach,Not started,,2020,,,,,"F. Mirzaei, H. Hassanpour, M. Biglari","Feature selection can significantly be decisive when analyzing high dimensional data, especially with a small number of samples. Feature extraction methods do not have decent performance in these conditions. With small sample sets and high dimensional data, exploring a large search space and learning from insufficient samples becomes extremely hard. As a result, neural networks and clustering algorithms perform poorly on this kind of data. In this paper, a novel hybrid feature selection technique is proposed, which can reduce drastically the number of features with an acceptable loss of prediction accuracy. The proposed approach operates in multiple stages, starting by removing irrelevant features with a low discrimination power, and then eliminating the ones with low variation range. Afterward, among each set of features with high cross-correlation, a single feature that is strongly correlated with the output is kept. Finally, a Genetic Algorithm with a customized cost function is provided to select a small subset of the remainder of features. To show the effectiveness of the proposed approach, we investigated two challenging case studies with sample set sizes of about 100 and the number of features larger than 1000. The experimental results look promising as they showed a percentage decrease of more than 99% in the number of features, with a prediction accuracy of more than 92%.","Data Mining, Evolutionary Methods, Feature Selection, High Dimensional Data, Regression","Data Mining,Evolutionary Methods,Feature Selection,High Dimensional Data,Regression",,1728144X,10.5829/IJE.2020.33.02B.05,
29,I,Improving the efficiency and accuracy of cardiovascular magnetic resonance with artificial intelligence—review of evidence and proposition of a roadmap to clinical translation,Not started,,2024,Review,,,,"Anastasia Fotaki, Claudia Prieto, Declan P. O'Regan, Frederick H. Epstein, Jana G. Delfino, Jens Wetzl, Mariya Doneva, Qiang Zhang, Sona Ghadimi, Yu Wang","Background: Cardiovascular magnetic resonance (CMR) is an important imaging modality for the assessment of heart disease; however, limitations of CMR include long exam times and high complexity compared to other cardiac imaging modalities. Recently advancements in artificial intelligence (AI) technology have shown great potential to address many CMR limitations. While the developments are remarkable, translation of AI-based methods into real-world CMR clinical practice remains at a nascent stage and much work lies ahead to realize the full potential of AI for CMR. Methods: Herein we review recent cutting-edge and representative examples demonstrating how AI can advance CMR in areas such as exam planning, accelerated image reconstruction, post-processing, quality control, classification and diagnosis. Results: These advances can be applied to speed up and simplify essentially every application including cine, strain, late gadolinium enhancement, parametric mapping, 3D whole heart, flow, perfusion and others. AI is a unique technology based on training models using data. Beyond reviewing the literature, this paper discusses important AI-specific issues in the context of CMR, including (1) properties and characteristics of datasets for training and validation, (2) previously published guidelines for reporting CMR AI research, (3) considerations around clinical deployment, (4) responsibilities of clinicians and the need for multi-disciplinary teams in the development and deployment of AI in CMR, (5) industry considerations, and (6) regulatory perspectives. Conclusions: Understanding and consideration of all these factors will contribute to the effective and ethical deployment of AI to improve clinical CMR.","Artificial Intelligence, Cardiovascular Magnetic Resonance, Clinical Translation, Deep Learning, Review, Roadmap","Artificial intelligence,Cardiovascular magnetic resonance,Clinical translation,Deep learning,Review,Roadmap",,1532429X,10.1016/j.jocmr.2024.101051,
